TR  A	    B	   RP	     Y
1   1       1       1       26.2
1   1       1       2       26.0
1   1       1       3       25.0
1   1       1       4       25.4
2   1       2       1       24.8
2   1       2       2       24.6
2   1       2       3       26.7
2   1       2       4       25.2
3   2       1       1       25.7
3   2       1       2       26.3
3   2       1       3       25.1
3   2       1       4       26.4
4   2       2       1       19.6
4   2       2       2       21.1
4   2       2       3       19.0
4   2       2       4       18.6
5   3       1       1       20.0
5   3       1       2       19.4
5   3       1       3       18.8
5   3       1       4       19.2
6   3       2       1       19.8
6   3       2       2       21.4
6   3       2       3       22.8
6   3       2       4       21.3
